date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:01:19	46/46	---MCZ	200	added ('OK')	text/plain	etag:W/%22592b3107-1a%22	http://preview.uideck.com/robots.txt		(from )
17:01:20	36907/36907	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Aug%202018%2014:28:43%20GMT	http://preview.uideck.com/items/classixer-1.1/	D:/MERN%20Stack/MERN/Templates/Job/preview.uideck.com/items/classixer-1.1/index.html	(from )
17:01:20	140930/140930	---MCZ	200	added ('OK')	text/css	etag:W/%225b61c2a0-22682%22	http://preview.uideck.com/items/classixer-1.1/assets/css/bootstrap.min.css	D:/MERN%20Stack/MERN/Templates/Job/preview.uideck.com/items/classixer-1.1/assets/css/bootstrap.min.css	(from http://preview.uideck.com/items/classixer-1.1/)
17:01:21	12091/12091	---MCZ	200	added ('OK')	text/css	etag:W/%225b61c37e-39bc%22	http://preview.uideck.com/items/classixer-1.1/assets/fonts/line-icons.css	D:/MERN%20Stack/MERN/Templates/Job/preview.uideck.com/items/classixer-1.1/assets/fonts/line-icons.css	(from http://preview.uideck.com/items/classixer-1.1/)
17:01:21	2367/2367	---MCZ	200	added ('OK')	text/css	etag:W/%225b61c2a5-bec%22	http://preview.uideck.com/items/classixer-1.1/assets/css/slicknav.css	D:/MERN%20Stack/MERN/Templates/Job/preview.uideck.com/items/classixer-1.1/assets/css/slicknav.css	(from http://preview.uideck.com/items/classixer-1.1/)
17:01:21	1726/1726	---MCZ	200	added ('OK')	text/css	etag:W/%225b61c2a3-98e%22	http://preview.uideck.com/items/classixer-1.1/assets/css/color-switcher.css	D:/MERN%20Stack/MERN/Templates/Job/preview.uideck.com/items/classixer-1.1/assets/css/color-switcher.css	(from http://preview.uideck.com/items/classixer-1.1/)
17:01:21	4761/4761	---MCZ	200	added ('OK')	text/css	etag:W/%225b61c2ac-168d%22	http://preview.uideck.com/items/classixer-1.1/assets/css/nivo-lightbox.css	D:/MERN%20Stack/MERN/Templates/Job/preview.uideck.com/items/classixer-1.1/assets/css/nivo-lightbox.css	(from http://preview.uideck.com/items/classixer-1.1/)
17:01:22	45547/45547	---MCZ	200	added ('OK')	text/css	etag:W/%225b61c2a4-df07%22	http://preview.uideck.com/items/classixer-1.1/assets/css/animate.css	D:/MERN%20Stack/MERN/Templates/Job/preview.uideck.com/items/classixer-1.1/assets/css/animate.css	(from http://preview.uideck.com/items/classixer-1.1/)
17:01:22	2384/2384	---MCZ	200	added ('OK')	text/css	etag:W/%225b61c2ae-d7c%22	http://preview.uideck.com/items/classixer-1.1/assets/css/owl.carousel.css	D:/MERN%20Stack/MERN/Templates/Job/preview.uideck.com/items/classixer-1.1/assets/css/owl.carousel.css	(from http://preview.uideck.com/items/classixer-1.1/)
17:01:22	72471/72471	---MCZ	200	added ('OK')	text/css	etag:W/%225b61c2a7-15f14%22	http://preview.uideck.com/items/classixer-1.1/assets/css/main.css	D:/MERN%20Stack/MERN/Templates/Job/preview.uideck.com/items/classixer-1.1/assets/css/main.css	(from http://preview.uideck.com/items/classixer-1.1/)
17:01:22	9394/9394	---MCZ	200	added ('OK')	text/css	etag:W/%225b61c2aa-3096%22	http://preview.uideck.com/items/classixer-1.1/assets/css/responsive.css	D:/MERN%20Stack/MERN/Templates/Job/preview.uideck.com/items/classixer-1.1/assets/css/responsive.css	(from http://preview.uideck.com/items/classixer-1.1/)
17:01:23	36907/36907	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Aug%202018%2014:28:43%20GMT	http://preview.uideck.com/items/classixer-1.1/index.html	D:/MERN%20Stack/MERN/Templates/Job/preview.uideck.com/items/classixer-1.1/index-2.html	(from http://preview.uideck.com/items/classixer-1.1/)
17:01:23	22849/22849	---M--	200	added ('OK')	image/png	etag:%225b61c36d-5941%22	http://preview.uideck.com/items/classixer-1.1/assets/img/logo.png	D:/MERN%20Stack/MERN/Templates/Job/preview.uideck.com/items/classixer-1.1/assets/img/logo.png	(from http://preview.uideck.com/items/classixer-1.1/)
17:01:24	29458/29458	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Aug%202018%2014:28:41%20GMT	http://preview.uideck.com/items/classixer-1.1/index-2.html	D:/MERN%20Stack/MERN/Templates/Job/preview.uideck.com/items/classixer-1.1/index-3.html	(from http://preview.uideck.com/items/classixer-1.1/)
17:01:24	38847/38847	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Aug%202018%2014:28:53%20GMT	http://preview.uideck.com/items/classixer-1.1/index-3.html	D:/MERN%20Stack/MERN/Templates/Job/preview.uideck.com/items/classixer-1.1/index-4.html	(from http://preview.uideck.com/items/classixer-1.1/)
17:01:25	22548/22548	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Aug%202018%2014:28:59%20GMT	http://preview.uideck.com/items/classixer-1.1/category.html	D:/MERN%20Stack/MERN/Templates/Job/preview.uideck.com/items/classixer-1.1/category.html	(from http://preview.uideck.com/items/classixer-1.1/)
17:01:25	21511/21511	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Aug%202018%2014:29:07%20GMT	http://preview.uideck.com/items/classixer-1.1/adlistinggrid.html	D:/MERN%20Stack/MERN/Templates/Job/preview.uideck.com/items/classixer-1.1/adlistinggrid.html	(from http://preview.uideck.com/items/classixer-1.1/)
17:01:25	21512/21512	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Aug%202018%2014:29:10%20GMT	http://preview.uideck.com/items/classixer-1.1/adlistinglist.html	D:/MERN%20Stack/MERN/Templates/Job/preview.uideck.com/items/classixer-1.1/adlistinglist.html	(from http://preview.uideck.com/items/classixer-1.1/)
17:01:26	18169/18169	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Aug%202018%2014:29:05%20GMT	http://preview.uideck.com/items/classixer-1.1/ads-details.html	D:/MERN%20Stack/MERN/Templates/Job/preview.uideck.com/items/classixer-1.1/ads-details.html	(from http://preview.uideck.com/items/classixer-1.1/)
17:01:27	16963/16963	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Aug%202018%2014:28:52%20GMT	http://preview.uideck.com/items/classixer-1.1/about.html	D:/MERN%20Stack/MERN/Templates/Job/preview.uideck.com/items/classixer-1.1/about.html	(from http://preview.uideck.com/items/classixer-1.1/)
17:01:27	15465/15465	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Aug%202018%2014:29:14%20GMT	http://preview.uideck.com/items/classixer-1.1/services.html	D:/MERN%20Stack/MERN/Templates/Job/preview.uideck.com/items/classixer-1.1/services.html	(from http://preview.uideck.com/items/classixer-1.1/)
17:01:27	17337/17337	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Aug%202018%2014:29:03%20GMT	http://preview.uideck.com/items/classixer-1.1/post-ads.html	D:/MERN%20Stack/MERN/Templates/Job/preview.uideck.com/items/classixer-1.1/post-ads.html	(from http://preview.uideck.com/items/classixer-1.1/)
17:01:28	13111/13111	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Aug%202018%2014:28:56%20GMT	http://preview.uideck.com/items/classixer-1.1/pricing.html	D:/MERN%20Stack/MERN/Templates/Job/preview.uideck.com/items/classixer-1.1/pricing.html	(from http://preview.uideck.com/items/classixer-1.1/)
17:01:28	13676/13676	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Aug%202018%2014:28:55%20GMT	http://preview.uideck.com/items/classixer-1.1/testimonial.html	D:/MERN%20Stack/MERN/Templates/Job/preview.uideck.com/items/classixer-1.1/testimonial.html	(from http://preview.uideck.com/items/classixer-1.1/)
17:01:29	19095/19095	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Aug%202018%2014:29:17%20GMT	http://preview.uideck.com/items/classixer-1.1/faq.html	D:/MERN%20Stack/MERN/Templates/Job/preview.uideck.com/items/classixer-1.1/faq.html	(from http://preview.uideck.com/items/classixer-1.1/)
17:01:29	11889/11889	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Aug%202018%2014:29:01%20GMT	http://preview.uideck.com/items/classixer-1.1/404.html	D:/MERN%20Stack/MERN/Templates/Job/preview.uideck.com/items/classixer-1.1/404.html	(from http://preview.uideck.com/items/classixer-1.1/)
17:01:30	20703/20703	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Aug%202018%2014:28:42%20GMT	http://preview.uideck.com/items/classixer-1.1/blog.html	D:/MERN%20Stack/MERN/Templates/Job/preview.uideck.com/items/classixer-1.1/blog.html	(from http://preview.uideck.com/items/classixer-1.1/)
17:01:30	20705/20705	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Aug%202018%2014:28:47%20GMT	http://preview.uideck.com/items/classixer-1.1/blog-left-sidebar.html	D:/MERN%20Stack/MERN/Templates/Job/preview.uideck.com/items/classixer-1.1/blog-left-sidebar.html	(from http://preview.uideck.com/items/classixer-1.1/)
17:01:30	17433/17433	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Aug%202018%2014:29:24%20GMT	http://preview.uideck.com/items/classixer-1.1/blog-grid-full-width.html	D:/MERN%20Stack/MERN/Templates/Job/preview.uideck.com/items/classixer-1.1/blog-grid-full-width.html	(from http://preview.uideck.com/items/classixer-1.1/)
