date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:50:03	631/631	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Jul%202019%2010:50:02%20GMT	https://spos.tecdiary.com/robots.txt		(from )
15:50:04	0/0	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2003%20Jul%202019%2010:50:02%20GMT	https://spos.tecdiary.com/	D:/MERN%20Stack/React%20JS/React%20Work/Templates/Dashboard/spos.tecdiary.com/index.html	(from )
15:50:05	3825/3825	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Jul%202019%2010:50:04%20GMT	https://spos.tecdiary.com/login	D:/MERN%20Stack/React%20JS/React%20Work/Templates/Dashboard/spos.tecdiary.com/login.html	(from https://spos.tecdiary.com/)
15:50:05	5790/5790	---M-Z	200	added ('OK')	application/javascript	etag:%225367a89c3c33412fc47351e18aedec08%22	https://spos.tecdiary.com/cdn-cgi/apps/head/Bx0hUCX-YaUCcleOh3fM_NqlPrk.js	D:/MERN%20Stack/React%20JS/React%20Work/Templates/Dashboard/spos.tecdiary.com/cdn-cgi/apps/head/Bx0hUCX-YaUCcleOh3fM_NqlPrk.js	(from https://spos.tecdiary.com/login)
15:50:06	364/364	---M--	200	added ('OK')	image/png	etag:%225c7f54ad-563%22	https://spos.tecdiary.com/themes/default/assets/images/icon.png	D:/MERN%20Stack/React%20JS/React%20Work/Templates/Dashboard/spos.tecdiary.com/themes/default/assets/images/icon.png	(from https://spos.tecdiary.com/login)
15:50:07	323545/323545	---MCZ	200	added ('OK')	text/css	etag:W/%225c7f54ad-4f08e%22	https://spos.tecdiary.com/themes/default/assets/dist/css/styles.css	D:/MERN%20Stack/React%20JS/React%20Work/Templates/Dashboard/spos.tecdiary.com/themes/default/assets/dist/css/styles.css	(from https://spos.tecdiary.com/login)
15:50:07	84345/84345	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c7f54ad-14979%22	https://spos.tecdiary.com/themes/default/assets/plugins/jQuery/jQuery-2.1.4.min.js	D:/MERN%20Stack/React%20JS/React%20Work/Templates/Dashboard/spos.tecdiary.com/themes/default/assets/plugins/jQuery/jQuery-2.1.4.min.js	(from https://spos.tecdiary.com/login)
15:50:07	35951/35951	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c7f54ad-8c6f%22	https://spos.tecdiary.com/themes/default/assets/bootstrap/js/bootstrap.min.js	D:/MERN%20Stack/React%20JS/React%20Work/Templates/Dashboard/spos.tecdiary.com/themes/default/assets/bootstrap/js/bootstrap.min.js	(from https://spos.tecdiary.com/login)
15:50:07	4516/4516	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c7f54ad-11a4%22	https://spos.tecdiary.com/themes/default/assets/plugins/iCheck/icheck.min.js	D:/MERN%20Stack/React%20JS/React%20Work/Templates/Dashboard/spos.tecdiary.com/themes/default/assets/plugins/iCheck/icheck.min.js	(from https://spos.tecdiary.com/login)
15:50:09	72449/72449	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225c7f54ad-11b01%22	https://spos.tecdiary.com/themes/default/assets/dist/fonts/fontawesome-webfont.eot?v=4.1.0	D:/MERN%20Stack/React%20JS/React%20Work/Templates/Dashboard/spos.tecdiary.com/themes/default/assets/dist/fonts/fontawesome-webfont862f.eot	(from https://spos.tecdiary.com/themes/default/assets/dist/css/styles.css)
